Occupation	index_inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_cieling_%>180k_MALE	Glass_cieling_%>180k_FEMALE	Glass_cieling_RATIO_>180k	Glass_cieling_%>80k_MALE	Glass_cieling_%>80k_FEMALE	Glass_cieling_RATIO_>80k	Real Income_2009_MALE	Real Income_2009_FEMALE	Real Income_2009_DIFF	Real Income_2013_MALE	Real Income_2013_FEMALE	Real Income_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
Delivery Drivers	8.7	4755	1324	0.78	0.22	0.1	0.04	2.67	0.37	0.5	0.75	84122	69087	15035	79033	67059	11973	3062	0.2
Truck Drivers	6.9	7745	4070	0.66	0.34	0.11	0.04	2.85	0.58	0.36	1.61	74284	68608	5676	82895	64370	18525	-12850	-2.26
Storepersons	4.0	5340	1223	0.81	0.19	0.14	0.03	4.6	0.49	0.24	2.08	74214	68435	5779	87958	67112	20846	-15067	-2.61
Cleaners and Laundry Workers	6.5	9743	3782	0.72	0.28	0.12	0.05	2.51	0.56	0.43	1.29	76030	65183	10848	89305	61069	28236	-17389	-1.6
Car Detailers	9.0	7969	4211	0.65	0.35	0.13	0.07	1.91	0.4	0.3	1.35	76019	64600	11419	77546	70986	6560	4859	0.43
Commercial Cleaners	9.0	5218	3398	0.61	0.39	0.14	0.07	2.13	0.56	0.37	1.49	78990	60334	18656	82455	68851	13604	5052	0.27
Domestic Cleaners	2.5	5482	5579	0.5	0.5	0.15	0.02	6.4	0.52	0.39	1.35	75384	59665	15720	89156	67210	21946	-6226	-0.4
Housekeepers	6.5	4917	4283	0.53	0.47	0.13	0.05	2.86	0.33	0.21	1.6	84091	63321	20769	84387	61505	22882	-2112	-0.1
Laundry Workers	0.5	3649	5155	0.41	0.59	0.14	0.05	2.66	0.4	0.27	1.51	80738	58467	22272	78238	68427	9811	12460	0.56
Other Cleaners	6.6	6850	1637	0.81	0.19	0.11	0.03	3.8	0.54	0.3	1.83	78728	65888	12840	88994	71543	17451	-4611	-0.36
"Labourer - type not specified, ATO RDCC"	4.6	7194	5741	0.56	0.44	0.12	0.07	1.77	0.39	0.38	1.01	70343	63524	6819	77399	62795	14604	-7785	-1.14
"Construction and Mining Labourers. Construction worker - type not specified, ATO RDCC"	3.8	1010	6077	0.14	0.86	0.13	0.04	3.1	0.5	0.4	1.23	71149	65444	5705	86886	66885	20002	-14296	-2.51
Building and Plumbing Labourers	6.9	7472	5745	0.57	0.43	0.12	0.03	3.87	0.45	0.22	2.04	80757	64117	16640	78226	67312	10914	5726	0.34
Concreters	8.5	2262	4661	0.33	0.67	0.14	0.05	3.02	0.52	0.41	1.27	76894	61691	15203	86923	60025	26898	-11695	-0.77
Fencers	4.9	1439	3225	0.31	0.69	0.14	0.06	2.36	0.37	0.27	1.38	72340	58675	13665	78333	62992	15342	-1677	-0.12
Insulation and Home Improvement Installers	0.5	1331	6167	0.18	0.82	0.12	0.05	2.49	0.3	0.22	1.4	76905	58122	18783	84241	66290	17951	832	0.04
Paving and Surfacing Labourers	4.6	10100	3956	0.72	0.28	0.13	0.02	5.59	0.47	0.36	1.3	78593	60487	18105	79595	63390	16206	1900	0.1
Railway Track Workers	9.2	7412	5394	0.58	0.42	0.13	0.07	2.03	0.4	0.27	1.47	72094	66983	5110	78026	67012	11015	-5904	-1.16
Structural Steel Construction Workers	8.3	2519	2339	0.52	0.48	0.14	0.03	4.46	0.49	0.44	1.1	73117	64491	8626	89166	66664	22503	-13877	-1.61
Other Construction and Mining Labourers	4.8	4677	4222	0.53	0.47	0.13	0.03	4.87	0.35	0.49	0.73	71291	57336	13955	82657	62454	20203	-6248	-0.45
Factory Process Workers	5.2	4239	6179	0.41	0.59	0.14	0.03	5.11	0.55	0.23	2.39	82994	67767	15227	79295	59740	19555	-4328	-0.28
Food Process Workers	5.1	2416	4929	0.33	0.67	0.11	0.05	2.32	0.54	0.32	1.66	82685	69160	13525	76638	63876	12762	763	0.06
Food and Drink Factory Workers	2.9	2505	1803	0.58	0.42	0.13	0.02	5.57	0.52	0.34	1.5	82480	68612	13869	89440	65419	24021	-10153	-0.73
"Meat Boners and Slicers, and Slaughterers"	1.4	1554	6748	0.19	0.81	0.12	0.06	2.02	0.54	0.25	2.19	76016	58354	17662	81187	64604	16584	1079	0.06
"Meat, Poultry and Seafood Process Workers"	4.6	8921	3019	0.75	0.25	0.14	0.07	2.04	0.35	0.3	1.18	70172	68094	2078	78710	69727	8983	-6905	-3.32
Packers	4.6	10296	2996	0.77	0.23	0.13	0.04	3.02	0.58	0.4	1.44	83361	57087	26274	75300	59209	16091	10183	0.39
Product Assemblers	1.9	6958	5471	0.56	0.44	0.14	0.06	2.34	0.32	0.23	1.41	81344	60774	20570	77304	63098	14206	6364	0.31
Metal Engineering Process Workers	2.5	7264	1989	0.78	0.22	0.13	0.03	4.23	0.36	0.26	1.37	78692	64774	13918	82529	65610	16919	-3001	-0.22
Plastics and Rubber Factory Workers	4.7	3880	1542	0.72	0.28	0.14	0.06	2.27	0.56	0.35	1.61	70980	68837	2143	79000	61308	17692	-15549	-7.25
Product Quality Controllers	2.6	3836	1702	0.69	0.31	0.1	0.05	2.17	0.39	0.32	1.22	81421	61371	20049	88425	58718	29707	-9658	-0.48
Timber and Wood Process Workers	6.1	7920	6172	0.56	0.44	0.1	0.05	1.92	0.31	0.42	0.74	81747	69017	12731	82171	70201	11969	761	0.06
Other Factory Process Workers	3.5	3168	6172	0.34	0.66	0.11	0.03	3.34	0.42	0.21	1.94	79977	63999	15978	83503	68199	15305	673	0.04
"Farm, Forestry and Garden Workers"	7.8	2291	1526	0.6	0.4	0.14	0.02	6.02	0.33	0.49	0.68	70148	60031	10118	80336	63742	16594	-6477	-0.64
Aquaculture Workers	2.9	7765	6315	0.55	0.45	0.12	0.03	3.53	0.35	0.25	1.37	80040	64835	15205	88839	66634	22204	-6999	-0.46
Crop Farm Workers	5.6	5388	4534	0.54	0.46	0.13	0.06	2.07	0.48	0.29	1.68	82662	67218	15445	76950	58276	18675	-3230	-0.21
Forestry and Logging Workers	9.0	9536	6640	0.59	0.41	0.1	0.07	1.52	0.41	0.43	0.97	76339	63187	13152	86262	64916	21346	-8194	-0.62
Garden and Nursery Labourers	8.1	9358	1530	0.86	0.14	0.1	0.06	1.8	0.33	0.27	1.19	78104	66060	12045	83050	66023	17027	-4983	-0.41
Livestock Farm Workers	5.1	2300	6845	0.25	0.75	0.11	0.05	2.14	0.55	0.47	1.15	75005	58033	16972	77696	66729	10967	6006	0.35
Mixed Crop and Livestock Farm Workers	2.8	6089	1001	0.86	0.14	0.15	0.06	2.41	0.53	0.37	1.45	79781	63362	16420	81052	60872	20180	-3761	-0.23
"Other Farm, Forestry and Garden Workers"	8.9	6644	6068	0.52	0.48	0.11	0.02	5.25	0.58	0.37	1.58	74706	56107	18598	85502	58436	27065	-8467	-0.46
Fast Food Cooks	0.2	5618	1926	0.74	0.26	0.14	0.04	3.99	0.56	0.41	1.37	72885	69821	3064	80925	64866	16058	-12994	-4.24
Food Trades Assistants	1.2	4494	2325	0.66	0.34	0.13	0.04	3.28	0.56	0.49	1.13	82678	69696	12982	81021	60327	20694	-7712	-0.59
Kitchenhands	8.3	4598	4267	0.52	0.48	0.11	0.04	2.88	0.34	0.26	1.29	80967	57137	23830	83019	60781	22238	1592	0.07
Freight Handlers and Shelf Fillers	1.5	1063	3334	0.24	0.76	0.12	0.02	4.95	0.53	0.42	1.26	82754	65471	17283	84440	72543	11897	5386	0.31
Freight and Furniture Handlers	9.3	1003	5444	0.16	0.84	0.15	0.04	3.56	0.38	0.43	0.87	70525	64098	6426	88728	62546	26181	-19755	-3.07
Shelf Fillers	2.9	6001	4670	0.56	0.44	0.15	0.02	7.2	0.32	0.49	0.64	76430	60506	15924	86299	66316	19984	-4059	-0.25
Caretakers	4.8	8948	4564	0.66	0.34	0.11	0.06	1.97	0.35	0.43	0.82	74527	65583	8944	79709	72940	6769	2175	0.24
Deck and Fishing Hands	8.1	4049	4130	0.5	0.5	0.1	0.07	1.53	0.45	0.31	1.45	84372	62048	22324	81351	62738	18613	3712	0.17
Handypersons	8.6	3336	3461	0.49	0.51	0.14	0.05	2.59	0.57	0.38	1.49	72782	61343	11439	89257	61433	27824	-16384	-1.43
Motor Vehicle Parts and Accessories Fitters	7.0	8141	4567	0.64	0.36	0.11	0.03	3.59	0.34	0.27	1.26	76286	60857	15428	81791	64185	17606	-2178	-0.14
Printing Assistants and Table Workers	6.5	6880	6230	0.52	0.48	0.12	0.05	2.27	0.43	0.42	1.02	72516	66954	5562	80598	70149	10448	-4887	-0.88
Recycling and Rubbish Collectors	8.8	5255	5742	0.48	0.52	0.12	0.06	1.99	0.56	0.41	1.37	80682	61171	19511	76737	59599	17138	2373	0.12
Vending Machine Attendants	2.5	6400	3564	0.64	0.36	0.15	0.06	2.52	0.46	0.41	1.11	83179	65475	17703	88355	58961	29394	-11691	-0.66
Other Miscellaneous Labourers	6.5	2192	3695	0.37	0.63	0.14	0.07	2.03	0.33	0.28	1.16	78824	69077	9747	83913	72292	11621	-1874	-0.19
Consultant - construction manager	5.6	9117	6316	0.59	0.41	0.1	0.05	1.97	0.45	0.35	1.27	78413	59653	18760	78394	66055	12338	6422	0.34
Consultant - tax accountant	0.7	1604	3119	0.34	0.66	0.13	0.05	2.48	0.49	0.39	1.25	81461	68622	12839	80131	58952	21180	-8341	-0.65
Consultant - financial investment	0.3	9773	1812	0.84	0.16	0.14	0.04	3.13	0.59	0.23	2.62	77740	69800	7940	85651	68497	17153	-9213	-1.16
Consultant - human resources	0.1	9417	6015	0.61	0.39	0.11	0.05	2.03	0.38	0.5	0.76	79904	57055	22849	75524	72640	2884	19965	0.87
Consultant - management	8.0	10437	5662	0.65	0.35	0.14	0.03	4.59	0.56	0.23	2.43	77462	59896	17566	85750	65933	19817	-2251	-0.13
Consultant - marketing and public relations	2.8	10922	4319	0.72	0.28	0.11	0.03	4.03	0.31	0.28	1.13	71591	56115	15476	77020	64116	12904	2572	0.17
Consultant - urban and regional planner	8.0	2139	1642	0.57	0.43	0.12	0.03	3.57	0.55	0.45	1.2	78307	64960	13347	81223	70384	10839	2508	0.19
Consultant - engineering	2.7	3837	1439	0.73	0.27	0.11	0.05	2.28	0.55	0.32	1.72	83277	58211	25065	85927	68508	17419	7646	0.31
Consultant - environmental	7.3	2766	4686	0.37	0.63	0.12	0.05	2.59	0.41	0.46	0.9	82146	56188	25958	85368	61063	24305	1652	0.06
Consultant - medical	2.9	8958	2469	0.78	0.22	0.14	0.06	2.59	0.34	0.39	0.88	75500	62499	13001	80272	63639	16633	-3633	-0.28
Consultant - occupational health and safety	1.3	7603	4416	0.63	0.37	0.12	0.04	2.91	0.45	0.31	1.44	74229	64011	10218	78885	70884	8001	2217	0.22
Consultant - clinical nurse	8.8	9336	1518	0.86	0.14	0.13	0.05	2.52	0.57	0.41	1.41	75290	64737	10553	82229	70115	12114	-1561	-0.15
Consultant - IT business analyst	3.8	3071	4866	0.39	0.61	0.11	0.06	1.72	0.54	0.22	2.44	77126	55275	21851	86773	66299	20473	1377	0.06
Apprentice or trainee - agricultural or medical technician	0.5	7009	4573	0.61	0.39	0.15	0.02	6.79	0.37	0.2	1.82	82793	60693	22099	80602	69800	10802	11297	0.51
Apprentice or trainee - information technology technician or telecommunications technical specialist	8.3	6484	2031	0.76	0.24	0.14	0.06	2.56	0.44	0.36	1.23	82526	62177	20349	78679	68973	9706	10644	0.52
Apprentice or trainee - automotive mechanic or electrician	5.9	2629	5223	0.33	0.67	0.13	0.06	2.45	0.5	0.5	1.01	79214	63321	15893	88928	72977	15951	-58	0
Apprentice or trainee - metal fabrication engineering trades worker	4.8	7816	1568	0.83	0.17	0.12	0.03	4.09	0.49	0.29	1.7	79853	65938	13915	86460	67992	18468	-4553	-0.33
Apprentice or trainee - mechanical trades engineering trades worker	2.8	5694	6394	0.47	0.53	0.15	0.04	3.65	0.44	0.38	1.17	70922	66102	4820	89336	60079	29258	-24437	-5.07
Apprentice or trainee - automotive - other	0.3	7494	6378	0.54	0.46	0.13	0.03	4.2	0.31	0.47	0.66	84022	69393	14629	77533	70147	7386	7243	0.5
"Apprentice or trainee - bricklayer, or carpenter and joiner"	9.7	1036	1296	0.44	0.56	0.13	0.03	3.9	0.5	0.5	1.01	70455	66063	4392	84281	69855	14426	-10033	-2.28
Apprentice or trainee - floor finisher	2.7	1273	4955	0.2	0.8	0.13	0.03	4.2	0.42	0.39	1.07	77075	58843	18232	88636	64434	24202	-5970	-0.33
Apprentice or trainee - tiler or plasterer	6.6	3770	5699	0.4	0.6	0.1	0.04	2.71	0.33	0.21	1.61	75061	63666	11396	81454	69216	12238	-843	-0.07
Apprentice or trainee - plumber	9.8	9273	4677	0.66	0.34	0.11	0.05	1.98	0.49	0.29	1.67	81535	60480	21054	82229	59738	22491	-1436	-0.07
Apprentice or trainee - electrician	9.6	8184	4227	0.66	0.34	0.14	0.04	4.06	0.41	0.21	1.93	80872	59740	21131	85451	62289	23162	-2030	-0.1
Apprentice or trainee - electronics or telecommunications trades worker	7.9	9502	1489	0.86	0.14	0.12	0.05	2.25	0.35	0.34	1.04	77929	58089	19840	89091	60717	28374	-8534	-0.43
Apprentice or trainee - food trades worker	2.0	7827	1926	0.8	0.2	0.1	0.04	2.93	0.35	0.31	1.13	83799	59658	24141	81454	60616	20838	3303	0.14
"Apprentice or trainee - animal attendant, trainer or shearer"	5.4	2190	3293	0.4	0.6	0.13	0.03	4.7	0.32	0.36	0.87	80795	69015	11780	81306	61729	19577	-7797	-0.66
Apprentice or trainee - horticultural trades worker	8.8	7007	4726	0.6	0.4	0.14	0.03	4.83	0.49	0.36	1.35	70690	62274	8417	83819	64151	19668	-11251	-1.34
Apprentice or trainee - hair dresser	4.8	1628	6743	0.19	0.81	0.11	0.04	2.6	0.38	0.42	0.89	74208	56516	17692	75995	64887	11109	6583	0.37
Apprentice or trainee - printer or graphic artist	1.1	7723	1516	0.84	0.16	0.15	0.07	2.13	0.47	0.23	2.07	73940	57632	16308	88838	64764	24074	-7766	-0.48
"Apprentice or trainee - textile, clothing or footware trades worker"	4.7	4172	1961	0.68	0.32	0.13	0.05	2.74	0.41	0.38	1.08	84303	58038	26265	82214	71380	10834	15431	0.59
Apprentice or trainee - wood trades worker	4.9	3547	1638	0.68	0.32	0.15	0.05	3.12	0.31	0.25	1.23	72857	63799	9058	85617	62204	23413	-14355	-1.58
Apprentice or trainee - miscellaneous technicians or trades worker	5.4	7242	5543	0.57	0.43	0.12	0.04	3.25	0.54	0.48	1.12	84097	59216	24881	79673	65694	13979	10902	0.44
Apprentice or trainee - health and welfare support services	9.6	8424	1087	0.89	0.11	0.14	0.04	3.23	0.5	0.36	1.4	71838	65301	6537	86439	63762	22677	-16140	-2.47
Apprentice or trainee - care and community services	2.8	1946	5548	0.26	0.74	0.13	0.03	4.15	0.58	0.29	2.03	78140	60885	17256	89760	66647	23113	-5857	-0.34
Apprentice or trainee - hospitality	1.3	1078	2898	0.27	0.73	0.13	0.07	1.91	0.57	0.29	1.95	70017	69683	333	83470	63921	19549	-19215	-57.65
"Consultant, apprentice or trainee - security and correctional services"	3.8	5397	4123	0.57	0.43	0.13	0.03	4.87	0.4	0.46	0.88	75800	55407	20392	75863	71664	4199	16193	0.79
"Consultant, apprentice or trainee - personal service or travel"	4.2	2026	5529	0.27	0.73	0.11	0.07	1.62	0.32	0.3	1.06	79609	64134	15475	89750	60941	28808	-13334	-0.86
Apprentice or trainee - sport and recreation	9.6	3569	2563	0.58	0.42	0.11	0.07	1.64	0.54	0.36	1.48	79374	68543	10831	78860	65869	12990	-2159	-0.2
Apprentice or trainee - business services	8.1	5085	6223	0.45	0.55	0.13	0.05	2.33	0.34	0.26	1.33	75121	63406	11716	87703	64503	23200	-11484	-0.98
Apprentice or trainee - clerical services	3.2	7290	5513	0.57	0.43	0.1	0.03	3.64	0.43	0.4	1.1	70274	66180	4094	85285	62121	23164	-19070	-4.66
Apprentice or trainee - financial services	9.5	4277	1003	0.81	0.19	0.15	0.06	2.47	0.41	0.42	0.99	71695	67844	3851	76134	62381	13752	-9902	-2.57
Consultant - insurance (clerical)	3.4	10017	2330	0.81	0.19	0.13	0.06	2.13	0.46	0.21	2.2	79832	57974	21858	86580	61551	25029	-3171	-0.15
"Consultant, apprentice or trainee - justice and legal services, insurance claims investigation"	8.3	2728	5661	0.33	0.67	0.12	0.05	2.37	0.39	0.42	0.93	83278	64647	18631	89942	58153	31789	-13158	-0.71
Consultant - sales representative (wholesale)	4.2	4594	3552	0.56	0.44	0.11	0.03	4.61	0.32	0.31	1.05	71496	61020	10476	77265	62311	14954	-4478	-0.43
Consultant - real estate representative	0.9	3229	2649	0.55	0.45	0.14	0.02	5.93	0.5	0.48	1.05	80615	67756	12859	79477	63892	15586	-2727	-0.21
Consultant - sales assistant (retail)	6.7	8141	4526	0.64	0.36	0.14	0.04	3.52	0.33	0.22	1.55	81326	56901	24424	89361	67728	21633	2791	0.11
Apprentice or trainee - miner	1.6	9001	3864	0.7	0.3	0.1	0.06	1.83	0.45	0.43	1.04	72225	58479	13746	87145	65955	21191	-7444	-0.54
Apprentice or trainee - transport and distribution driver	4.5	10544	5768	0.65	0.35	0.13	0.06	2.07	0.35	0.4	0.88	81065	55603	25462	75251	66183	9068	16394	0.64
Apprentice or trainee - storeperson	3.6	7151	3951	0.64	0.36	0.11	0.03	3.8	0.42	0.3	1.39	79858	57240	22618	89066	60883	28183	-5564	-0.25
Apprentice or trainee - cleaning services	0.1	1565	4346	0.26	0.74	0.15	0.05	2.73	0.41	0.32	1.31	82659	63490	19169	79039	59072	19967	-798	-0.04
"Apprentice or trainee - food, drink or meat processor"	0.9	3837	2906	0.57	0.43	0.11	0.02	5	0.36	0.36	0.98	73634	56050	17584	76633	61343	15290	2293	0.13
"Apprentice or trainee - farm, forestry or garden worker"	3.5	6123	1211	0.83	0.17	0.15	0.07	2.28	0.44	0.27	1.62	79309	66648	12660	75812	70137	5675	6986	0.55
"Apprentice or trainee - deck or fishing hand, or autoglazier"	2.1	10736	1382	0.89	0.11	0.11	0.03	3.15	0.31	0.25	1.26	72526	58798	13728	84878	71610	13268	460	0.03
Occupation not matched	5.4	2149	1689	0.56	0.44	0.12	0.03	4.23	0.38	0.44	0.87	74551	68744	5808	88887	59329	29558	-23751	-4.09
Miscellaneous type not specified	2.0	2020	2461	0.45	0.55	0.15	0.04	4.08	0.39	0.47	0.82	77755	61868	15887	77813	67349	10464	5423	0.34
